y,m,d,yday,srise,sset,solnoon
2023,1,1,1,07:24,17:29,12:27
2023,1,13,13,07:25,17:39,12:32
2023,1,25,25,07:21,17:50,12:35
2023,2,6,37,07:14,18:01,12:37
2023,2,18,49,07:03,18:12,12:37
2023,3,2,61,06:50,18:21,12:35
2023,3,14,73,06:35,18:30,12:32
2023,3,25,84,06:21,18:38,12:29
2023,4,1,91,06:12,18:43,12:27
2023,4,9,99,06:02,18:48,12:25
2023,4,17,107,05:52,18:54,12:23
2023,4,25,115,05:43,19:00,12:21
2023,5,3,123,05:35,19:05,12:20
2023,5,11,131,05:28,19:11,12:20
2023,5,19,139,05:23,19:17,12:20
2023,5,27,147,05:19,19:22,12:20
2023,5,29,149,05:18,19:23,12:21
2023,5,31,151,05:18,19:24,12:21
2023,6,2,153,05:17,19:25,12:21
2023,6,4,155,05:17,19:27,12:22
2023,6,5,156,05:17,19:27,12:22
2023,6,12,163,05:16,19:30,12:23
2023,6,20,171,05:17,19:33,12:25
2023,7,6,187,05:22,19:33,12:28
2023,7,15,196,05:27,19:31,12:29
2023,7,22,203,05:32,19:27,12:30
2023,8,7,219,05:42,19:15,12:29
2023,8,13,225,05:46,19:10,12:28
2023,8,23,235,05:53,18:59,12:26
2023,8,31,243,05:58,18:49,12:24
2023,9,8,251,06:03,18:39,12:21
2023,9,24,267,06:13,18:17,12:15
2023,10,10,283,06:23,17:57,12:10
2023,10,15,288,06:27,17:51,12:09
2023,10,26,299,06:35,17:39,12:07
2023,11,11,315,06:49,17:25,12:07
2023,11,27,331,07:03,17:19,12:11
2023,12,13,347,07:15,17:19,12:17
2023,12,19,353,07:19,17:21,12:20
2023,12,29,363,07:23,17:27,12:25
2023,12,31,365,07:24,17:28,12:26
